brand,details,name,price,product_type,shades
Spud and Chloe,"55% Wool 45% Cotton, 3.5oz",Spud & Chloe Sweater,16.5000,Yarns,"
                            12 shades"
King Cole,"100% Baby Alpaca, 1.8oz",King Cole Baby Alpaca DK,7.8500,Yarns,"
                            9 shades"
Berroco,"60% Cotton 40% Synthetic, 3.5oz",Berroco Modern Cotton,9.9900,Yarns,"
                            19 shades"
Bernat,"100% Polyester, 3.5oz",Bernat Pipsqueak,5.2900,Yarns,"
                            8 shades"
Universal Yarn,"100% Acrylic, 3.5oz",Universal Yarn Uptown Bulky,5.9900,Yarns,"
                            11 shades"
King Cole,"75% Polyester 25% Metallic, 1.8oz",King Cole Tinsel Chunky,4.9500,Yarns,"
                            11 shades"
Regia,1.8oz,Regia 4 Ply Color 50g,8.9900,Yarns,"
                            8 shades"
Cascade Yarns,3.5oz,Cascade Yarns Longwood Sport Stripe,15.5000,Yarns,"
                            14 shades"
Plymouth Yarn,"100% Wool, 3.5oz",Plymouth Yarn Galway Worsted,9.0000,Yarns,"
                            11 shades"
Cascade Yarns,"100% Baby Alpaca, 3.5oz",Cascade Baby Alpaca Chunky,19.9900,Yarns,"
                            9 shades"
Lana Grossa,1.8oz,Lana Grossa Bingo,8.9900,Yarns,"
                            18 shades"
Stylecraft,3.5oz,Stylecraft Special DK,3.4900,Yarns,"
                            89 shades"
Cascade Yarns,"100% Alpaca, 1.8oz",Cascade Alpaca Lace,9.9900,Yarns,"
                            10 shades"
King Cole,"69% Acrylic 25% Cotton 6% Wool, 3.5oz",King Cole Drifter For Baby,8.5000,Yarns,"
                            6 shades"
Regia,"75% Virgin Wool 25% Polyamide, 3.5oz",Regia Pairfect,17.5000,Yarns,"
                            12 shades"
Rowan,3.5oz,Rowan Creative Linen,14.9500,Yarns,"
                            10 shades"
Rico,"50% Cotton 50% Acrylic, 1.8oz",Rico Baby Cotton Soft DK,3.6500,Yarns,"
                            22 shades"
Lang Yarns,"100% Merino Wool, 1.8oz",Lang Yarns Merino 150,6.9950,Yarns,"
                            9 shades"
Anchor,"80% Viscose 20% Polyester, 0.9oz",Anchor Artiste Metallic,6.9500,Yarns,"
                            4 shades"
West Yorkshire Spinners,"100% Wool, 3.5oz",West Yorkshire Spinners Bluefaced Leicester Naturals DK,14.7500,Yarns,"
                            2 shades"
Schachenmayr,"100% Wool, 1.8oz",Schachenmayr Merino Extrafine 170,7.5000,Yarns,"
                            5 shades"
King Cole,"54% Cotton 42% Acrylic 4% Polyamide, 3.5oz",King Cole Opium,6.3500,Yarns,"
                            4 shades"
Fyberspates,"100% Merino Wool, 4.1oz",Fyberspates Vivacious DK,24.0000,Yarns,"
                            13 shades"
Berroco,"50% Nylon 50% Acrylic, 1.8oz",Berroco Comfort DK,4.2500,Yarns,"
                            10 shades"
Plymouth Yarn,"100% Merino Wool, 1.8oz",Plymouth Yarn DK Merino Superwash,7.9900,Yarns,"
                            8 shades"
Sirdar Snuggly,"55% Nylon 45% Acrylic, 1.8oz",Sirdar Snuggly 4 Ply 50g,4.5000,Yarns,"
                            7 shades"
Berroco,"30% Nylon 27% Cotton 24% Acrylic 10% Silk 9% Linen, 3.5oz",Berroco Remix,11.9900,Yarns,"
                            15 shades"
Plymouth Yarn,"75% Acrylic 25% Wool, 3.5oz",Plymouth Yarn Encore Mega,6.5000,Yarns,"
                            14 shades"
Schachenmayr,"99% Cotton 1% Polyester, 1.8oz",Schachenmayr Tahiti,9.4900,Yarns,"
                            18 shades"
Koigu,"100% Merino Wool, 1.8oz",Koigu Premium Merino,15.9900,Yarns,"
                            17 shades"
Paintbox Yarns,"100% Acrylic, 3.5oz",Paintbox Yarns Simply DK,2.6175,Yarns,"
                            64 shades"
Paintbox Yarns,"100% Cotton, 1.8oz",Paintbox Yarns Cotton DK,2.4375,Yarns,"
                            64 shades"
Sirdar,"100% Cotton, 3.5oz",Sirdar Cotton DK,7.5000,Yarns,"
                            11 shades"
Manos del Uruguay,"75% Merino Wool 25% Synthetic, 3.5oz",Manos del Uruguay Alegria,28.0000,Yarns,"
                            16 shades"
King Cole,"69% Acrylic 25% Cotton 6% Wool, 3.5oz",King Cole Drifter DK,8.5000,Yarns,"
                            5 shades"
King Cole,"60% Acrylic 40% Nylon, 3.5oz",King Cole Comfort Baby DK,4.9900,Yarns,"
                            6 shades"
Rico,"50% Acrylic 50% Polyamide, 1.8oz",Rico Baby Classic DK,4.2500,Yarns,"
                            26 shades"
Rico,"100% Baumwolle, 1.8oz",Rico Essentials Crochet,3.9900,Yarns,"
                            7 shades"
Rowan,1.8oz,Rowan Fine Lace,13.5000,Yarns,"
                            11 shades"
Plymouth Yarn,"100% Merino Wool, 3.5oz",Plymouth Yarn Worsted Merino Superwash,15.9900,Yarns,"
                            11 shades"
Paintbox Yarns,3.5oz,Paintbox Yarns Simply Aran,2.6175,Yarns,"
                            64 shades"
Paintbox Yarns,3.5oz,Paintbox Yarns Simply Chunky,2.6200,Yarns,"
                            64 shades"
Cascade Yarns,"100% Acrylic, 7.1oz",Cascade Pinwheel,9.9900,Yarns,"
                            1 shade"
Paintbox Yarns,"100% Cotton, 1.8oz",Paintbox Yarns Cotton Aran,2.4375,Yarns,"
                            64 shades"
Universal Yarn,"100% Cotton, 3.5oz",Universal Yarn Cotton Supreme,10.0000,Yarns,"
                            9 shades"
Artyarns,"50% Silk 50% Cashmere, 2.8oz",Artyarns Ensemble Light,70.0000,Yarns,"
                            3 shades"
Dream in Color,"70% Merino Wool 20% Cashmere 10% Nylon, 3.9oz",Dream in Color Classy with Cashmere,30.0000,Yarns,"
                            1 shade"
Lang Yarns,"100% Merino Wool, 1.8oz",Lang Yarns Merino 120,8.9900,Yarns,"
                            14 shades"
Lion Brand,"79% Acrylic 20% Polyester 1% Metallic, 4.9oz",Lion Brand Wool Ease Thick & Quick Metallics,8.7900,Yarns,"
                            2 shades"
Manos del Uruguay,"70% Merino Wool 30% Silk, 3.5oz",Manos del Uruguay Silk Blend Fino,32.0000,Yarns,"
                            15 shades"
Manos del Uruguay,"70% Merino Wool 30% Silk, 1.8oz",Manos del Uruguay Silk Blend Semi-Solid,15.5000,Yarns,"
                            11 shades"
Lorna's Laces,"70% Alpaca 30% Silk, 3.5oz",Lorna's Laces Honor,25.8500,Yarns,"
                            1 shade"
Loopy Mango,"100% Merino Wool, 38.8oz",Loopy Mango Big Loop Yarn Merino,156.0000,Yarns,"
                            6 shades"
Loopy Mango,"100% Merino Wool, 13.1oz",Loopy Mango Big Loop Yarn Merino Mini,59.0000,Yarns,"
                            2 shades"
Rowan,"65% Wool 30% Alpaca 5% Polyester, 1.8oz",Rowan Brushed Fleece,13.5000,Yarns,"
                            10 shades"
Imperial Yarn,"100% Wool, 4oz",Imperial Yarn Columbia,17.7500,Yarns,"
                            2 shades"
Rico,"50% Wool 50% Acrylic, 1.8oz",Rico Essentials Big,6.9900,Yarns,"
                            2 shades"
Rico,"100% Polyester, 7.1oz",Rico Creative Pompon Print,11.1930,Yarns,"
                            1 shade"
Artyarns,"60% Mohair 40% Silk, 0.9oz",Artyarns Silk Mohair,28.0000,Yarns,"
                            1 shade"
Artyarns,"100% Silk, 1.8oz",Artyarns Beaded Silk and Sequins Light,64.0000,Yarns,"
                            1 shade"
Dream in Color,"70% Merino Wool 20% Cashmere 10% Nylon, 3.9oz",Dream in Color Smooshy with Cashmere,30.0000,Yarns,"
                            3 shades"
Lana Grossa,1.8oz,Lana Grossa Cool Wool,8.9900,Yarns,"
                            22 shades"
BC Garn,"100% Silk, 1.8oz",BC Garn Jaipur Silk Fino,34.0000,Yarns,"
                            3 shades"
Phildar,"50% Nylon 25% Wool 25% Acrylic, 1.8oz",Phildar Partner 6,4.7900,Yarns,"
                            2 shades"
Imperial Yarn,,Imperial Yarn Lamb Baby Blanket Knitting Kit,118.0000,Kits,"
                            2 options"
Noro,"100% Wool, 3.5oz",Noro Kureyon Air,17.9900,Yarns,"
                            3 shades"
Filatura di Crosa,"40% Cotton 40% Acrylic 20% Polyester, 1.8oz",Filatura Di Crosa Goccia,15.5000,Yarns,"
                            1 shade"
King Cole,"60% Acrylic 40% Nylon, 3.5oz",King Cole Comfort Aran,4.9900,Yarns,"
                            6 shades"
Stylecraft,"75% Acrylic 25% Wool, 3.5oz",Stylecraft Life Chunky,4.7500,Yarns,"
                            5 shades"
Lang Yarns,"98% Merino Wool 2% Polyester, 3.5oz",Lang Yarns Merino 50,18.9900,Yarns,"
                            4 shades"
Rico,5.3oz,Rico Creative Loopy,13.9900,Yarns,"
                            8 shades"
Red Heart US,"75% Acrylic 25% Polyester, 3.5oz",Red Heart Boutique Ribbons,5.9500,Yarns,"
                            5 shades"
Rowan,"70% Wool 22% Mohair 8% Polyamide, 1.8oz",Rowan Kid Classic,13.0000,Yarns,"
                            15 shades"
Phildar,"100% Cotton, 1.8oz",Phildar Phil Coton 3,3.2400,Yarns,"
                            3 shades"
Rowan,"100% Cotton, 1.8oz",Rowan Cotton Glace,8.5000,Yarns,"
                            15 shades"
Patons,"100% Cotton, 3.5oz",Patons 100% Cotton DK,6.8163,Yarns,"
                            1 shade"
Hayfield,3.5oz,Hayfield Baby Chunky,2.4950,Yarns,"
                            3 shades"
King Cole,"100% Wool, 1.8oz",King Cole Merino Blend DK,6.5000,Yarns,"
                            21 shades"
Scheepjes,0.9oz,Scheepjes Catona 25 gram,1.7400,Yarns,"
                            96 shades"
Scheepjes,"100% Cotton, 1.8oz",Scheepjes Catona,3.4900,Yarns,"
                            109 shades"
Caron,"100% Acrylic, 6oz",Caron Simply Soft,4.9900,Yarns,"
                            37 shades"
Cascade Yarns,"100% Wool, 3.5oz",Cascade 220 Heathers,10.9900,Yarns,"
                            111 shades"
Paintbox Yarns,"100% Cotton, 8.8oz",Paintbox Yarns Cotton Aran 5 Ball Value Pack,10.5000,Yarns,"
                            53 colorways"
Paintbox Yarns,17.6oz,Paintbox Yarns Simply Chunky 5 Ball Value Pack,10.5000,Yarns,"
                            60 colorways"
Paintbox Yarns,"100% Acrylic, 3.5oz",Paintbox Yarns Simply Super Chunky,3.3750,Yarns,"
                            25 shades"
Schachenmayr,"100% Cotton, 1.8oz",Schachenmayr Catania,5.4900,Yarns,"
                            91 shades"
Debbie Bliss,1.8oz,Debbie Bliss Baby Cashmerino,9.9900,Yarns,"
                            49 shades"
Cascade Yarns,3.5oz,Cascade 220 Superwash,11.5000,Yarns,"
                            106 shades"
Paintbox Yarns,17.6oz,Paintbox Yarns Simply DK 5 Ball Value Pack,10.5000,Yarns,"
                            57 colorways"
Cascade Yarns,"75% Merino Wool 25% Nylon, 3.5oz",Cascade Heritage Solids,11.4900,Yarns,"
                            58 shades"
Malabrigo,"100% Merino Wool, 3.5oz",Malabrigo Rios,15.4900,Yarns,"
                            76 shades"
Paintbox Yarns,17.6oz,Paintbox Yarns Simply Aran 5 Ball Value Pack,10.5000,Yarns,"
                            60 colorways"
Lily Sugar 'n Cream,2.5oz,Lily Sugar 'n Cream Solids,2.9900,Yarns,"
                            39 shades"
Lion Brand,"80% Acrylic 20% Wool, 0oz",Lion Brand Wool Ease,3.8165,Yarns,"
                            17 shades"
Lion Brand,"86% Acrylic 10% Wool 4% Rayon, 6oz",Lion Brand Wool Ease Thick & Quick,9.0155,Yarns,"
                            33 shades"
Paintbox Yarns,"100% Cotton, 8.8oz",Paintbox Yarns Cotton DK 5 Ball Value Pack,10.5000,Yarns,"
                            56 colorways"
Scheepjes,"100% Cotton, 1.8oz",Scheepjes Cotton 8,2.8405,Yarns,"
                            37 shades"
Debbie Bliss,1.8oz,Debbie Bliss Cashmerino Aran,9.9900,Yarns,"
                            32 shades"
Stylecraft,3.5oz,Stylecraft Special Chunky,3.4900,Yarns,"
                            47 shades"
Lopi,1.8oz,Lopi Lettlopi,5.7500,Yarns,"
                            41 shades"
Stylecraft,"100% Acrylic, 3.5oz",Stylecraft Special Aran,3.4900,Yarns,"
                            43 shades"
Scheepjes,1.8oz,Scheepjes Stone Washed,6.4900,Yarns,"
                            23 shades"
Valley Yarns,"75% Merino Wool 25% Nylon, 1.8oz",Valley Yarns Huntington,5.4900,Yarns,"
                            23 shades"
Valley Yarns,"100% Wool, 3.5oz",Valley Yarns Northampton,7.4900,Yarns,"
                            36 shades"
Hayfield,3.5oz,Hayfield Bonus DK,4.9900,Yarns,"
                            73 shades"
Stylecraft,1.8oz,Stylecraft Batik,3.4900,Yarns,"
                            16 shades"
Debbie Bliss,1.8oz,Debbie Bliss Rialto DK,9.9900,Yarns,"
                            36 shades"
Lion Brand,"100% Acrylic, 5oz",Lion Brand Heartland,6.4900,Yarns,"
                            19 shades"
Cascade Yarns,"100% Cotton, 3.5oz",Cascade Ultra Pima,10.4900,Yarns,"
                            54 shades"
Schachenmayr,"100% Wool, 1.8oz",Schachenmayr Merino Extrafine 120,7.9500,Yarns,"
                            47 shades"
Ella Rae,3.5oz,Ella Rae Chunky Merino Superwash,7.5000,Yarns,"
                            19 shades"
Cascade Yarns,1.8oz,Cascade 220 Superwash Sport,6.5000,Yarns,"
                            33 shades"
Hoooked,8.8oz,Hoooked Ribbon XL Solids,10.9900,Yarns,"
                            32 shades"
Lily Sugar 'n Cream,"100% Cotton, 2oz",Lily Sugar 'n Cream Ombre,2.9900,Yarns,"
                            28 shades"
Lion Brand,3.5oz,Lion Brand 24/7 Cotton,4.9900,Yarns,"
                            23 shades"
Bernat,"100% Acrylic, 5oz",Bernat Softee Baby Solids,5.9900,Yarns,"
                            19 shades"
Sirdar Snuggly,1.8oz,Sirdar Snuggly Baby Cashmere Merino DK,4.4950,Yarns,"
                            19 shades"
Ella Rae,3.5oz,Ella Rae DK Merino Superwash,15.0000,Yarns,"
                            19 shades"
Paintbox Yarns,"100% Cotton, 17.6oz",Paintbox Yarns Cotton Aran 10 Ball Color Pack,21.0000,Yarns,"
                            12 colorways"
Malabrigo,"100% Merino Wool, 3.5oz",Malabrigo Arroyo,19.2500,Yarns,"
                            38 shades"
Malabrigo,"100% Merino Wool, 3.5oz",Malabrigo Sock,19.4900,Yarns,"
                            66 shades"
Debbie Bliss,"70% Mohair 30% Silk, 0.9oz",Debbie Bliss Angel,13.4900,Yarns,"
                            16 shades"
Red Heart US,"100% Acrylic, 5oz",Red Heart Soft - 256yds (234m),4.7900,Yarns,"
                            21 shades"
Cascade Yarns,"100% Merino Wool, 3.5oz",Cascade Yarns 220 Superwash Merino,12.9900,Yarns,"
                            50 shades"
Paintbox Yarns,"100% Cotton, 17.6oz",Paintbox Yarns Cotton DK 10 Ball Value Pack,21.0000,Yarns,"
                            56 colorways"
Paintbox Yarns,"45% Acrylic 55% Nylon, 1.8oz",Paintbox Yarns Baby DK,3.5000,Yarns,"
                            24 shades"
James C. Brett,3.5oz,James C. Brett Flutterby Chunky,7.9900,Yarns,"
                            22 shades"
Cascade Yarns,3.5oz,Cascade Yarns Cherub Aran Wave,3.5940,Yarns,"
                            4 shades"
Paintbox Yarns,"100% Acrylic, 35.3oz",Paintbox Yarns Simply Chunky 10 Ball Color Pack,21.0000,Yarns,"
                            7 colorways"
Aunt Lydia's,"100% Cotton, 2.8oz",Aunt Lydia's Classic Crochet Thread Size 10 Solids,3.7500,Yarns,"
                            25 shades"
Valley Yarns,"72% Mohair 28% Silk, 0.9oz",Valley Yarns Southampton,8.9900,Yarns,"
                            27 shades"
Scheepjes,"60% Cotton 40% Acrylic, 7.9oz",Scheepjes Whirl,29.9900,Yarns,"
                            39 shades"
Stylecraft,"100% Acrylic, 17.6oz",Stylecraft Special DK 5 Ball Value Pack,14.9600,Yarns,"
                            80 colorways"
Malabrigo,"100% Merino Wool, 3.5oz",Malabrigo Chunky,11.9900,Yarns,"
                            44 shades"
Premier Yarns,3.5oz,Premier Yarns Anti-Pilling Everyday DK,4.9900,Yarns,"
                            74 shades"
Berroco,"50% Alpaca 50% Wool, 3.5oz",Berroco Ultra Alpaca,12.9900,Yarns,"
                            39 shades"
Lion Brand,3.5oz,Lion Brand Coboo,5.9900,Yarns,"
                            8 shades"
Valley Yarns,"100% Merino Wool, 1.8oz",Valley Yarns Superwash Sport,6.9900,Yarns,"
                            26 shades"
Paintbox Yarns,"100% Cotton, 1.8oz",Paintbox Yarns Cotton 4 ply,3.2500,Yarns,"
                            24 shades"
Regia,"75% Virgin Wool 25% Polyamide, 3.5oz",Regia 4 Ply Color 100g,8.9900,Yarns,"
                            32 shades"
Scheepjes,1.8oz,Scheepjes Stone Washed XL,4.3920,Yarns,"
                            18 shades"
Rowan,"70% Mohair 30% Silk, 0.9oz",Rowan Kidsilk Haze,15.5000,Yarns,"
                            37 shades"
Lion Brand,"100% Acrylic, 3.5oz",Lion Brand Landscapes,6.9900,Yarns,"
                            12 shades"
Hoooked,"60% Cotton 40% Linen, 3.5oz",Hoooked Somen,4.4450,Yarns,"
                            14 shades"
Debbie Bliss,1.8oz,Debbie Bliss Cashmerino Chunky,9.9900,Yarns,"
                            23 shades"
King Cole,"23% Acrylic 22% Merino Wool 22% Alpaca 23% Polyamide 10% Viscose, 1.8oz",King Cole Homespun DK,4.5000,Yarns,"
                            10 shades"
Scheepjes,"60% Cotton 40% Acrylic, 3.5oz",Scheepjes Whirlette,7.9500,Yarns,"
                            44 shades"
Premier Yarns,"100% Acrylic, 7.1oz",Premier Yarns Basix,3.9900,Yarns,"
                            48 shades"
Malabrigo,"100% Merino Wool, 5.6oz",Malabrigo Rasta,22.0000,Yarns,"
                            53 shades"
Debbie Bliss,1.8oz,Debbie Bliss Rialto Lace,7.4925,Yarns,"
                            13 shades"
Paintbox Yarns,35.3oz,Paintbox Yarns Simply DK 10 Ball Value Pack,21.0000,Yarns,"
                            56 colorways"
Lion Brand,"100% Polyester, 3.5oz",Lion Brand Go For Faux,3.7800,Yarns,"
                            16 shades"
Cascade Yarns,"100% Merino Wool, 1.8oz",Cascade Yarns 220 Superwash Fingering,6.5000,Yarns,"
                            21 shades"
Universal Yarn,"100% Acrylic, 3.5oz",Universal Yarn Uptown Worsted,6.5000,Yarns,"
                            26 shades"
Bernat,"100% Polyester, 10.6oz",Bernat Blanket,11.9900,Yarns,"
                            59 shades"
Cascade Yarns,"100% Merino Wool, 3.5oz",Cascade Yarns 220 Merino,12.0000,Yarns,"
                            42 shades"
MillaMia,1.8oz,MillaMia Naturally Soft Merino,9.4900,Yarns,"
                            30 shades"
Debbie Bliss,"100% Cotton, 1.8oz",Debbie Bliss Cotton DK,5.9500,Yarns,"
                            12 shades"
Red Heart US,"100% Acrylic, 3.5oz",Red Heart Boutique Unforgettable,6.9900,Yarns,"
                            16 shades"
Scheepjes,1.8oz,Scheepjes River Washed,6.4900,Yarns,"
                            22 shades"
Paintbox Yarns,35.3oz,Paintbox Yarns Simply Chunky 10 Ball Value Pack,21.0000,Yarns,"
                            60 colorways"
Paintbox Yarns,"50% Wool 50% Acrylic, 3.5oz",Paintbox Yarns Wool Mix Super Chunky,8.0000,Yarns,"
                            49 shades"
Aunt Lydia's,"100% Cotton, 2.4oz",Aunt Lydia's Fashion Crochet Thread Size 3,3.1500,Yarns,"
                            13 shades"
Premier Yarns,"60% Bamboo 40% Cotton, 3.5oz",Premier Yarns Bamboo Fair,5.9900,Yarns,"
                            42 shades"
Rowan,1.8oz,Rowan Felted Tweed DK,13.5000,Yarns,"
                            57 shades"
Paintbox Yarns,35.3oz,Paintbox Yarns Simply Super Chunky 10 Ball Value Pack,31.5000,Yarns,"
                            19 colorways"
Valley Yarns,"100% Merino Wool, 1.8oz",Valley Yarns Superwash,6.9900,Yarns,"
                            31 shades"
Debbie Bliss,8.8oz,Debbie Bliss Baby Cashmerino 5 Ball Value Pack,49.9500,Yarns,"
                            49 colorways"
Paintbox Yarns,"100% Cotton, 17.6oz",Paintbox Yarns Cotton Aran 10 Ball Value Packs,21.0000,Yarns,"
                            53 colorways"
Malabrigo,1.8oz,Malabrigo Silky Merino,10.9900,Yarns,"
                            27 shades"
Valley Yarns,"52% Cotton 48% Bamboo, 1.8oz",Valley Yarns Southwick,5.3900,Yarns,"
                            20 shades"
Valley Yarns,"100% Merino Wool, 1.8oz",Valley Yarns Superwash DK,6.9900,Yarns,"
                            25 shades"
Lion Brand,"100% Acrylic, 5.3oz",Lion Brand Mandala,7.9900,Yarns,"
                            22 shades"
Debbie Bliss,"100% Cotton, 1.8oz",Debbie Bliss Eco Baby,7.9500,Yarns,"
                            12 shades"
Plymouth Yarn,"75% Acrylic 25% Wool, 3.5oz",Plymouth Yarn Encore Worsted Colorspun,6.9900,Yarns,"
                            24 shades"
Premier Yarns,"100% Acrylic, 7.1oz",Premier Yarns Puzzle,8.9900,Yarns,"
                            20 shades"
Bernat,"100% Cotton, 1.5oz",Bernat Handicrafter Cotton Ombre,2.4900,Yarns,"
                            24 shades"
Lion Brand,"100% Acrylic, 15.8oz",Lion Brand Pound Of Love,11.6900,Yarns,"
                            8 shades"
Universal Yarn,"100% Cotton, 3.5oz",Universal Yarn Cotton Supreme Sapling,4.9950,Yarns,"
                            17 shades"
Cascade Yarns,"100% Wool, 3.5oz",Cascade Lana Grande,10.9900,Yarns,"
                            19 shades"
Willow and Lark,1.8oz,Willow & Lark Ramble,7.2500,Yarns,"
                            20 shades"
Yarn and Colors,"45% Cotton 55% Acrylic, 1.8oz",Yarn and Colors Baby Fabulous,3.5000,Yarns,"
                            35 shades"
Paintbox Yarns,"100% Cotton, 17.6oz",Paintbox Yarns Cotton DK 10 Ball Color Pack,21.0000,Yarns,"
                            10 colorways"
Paintbox Yarns,17.6oz,Paintbox Yarns Simply DK Bella Coco 5 Ball Color Pack,14.8750,Yarns,"
                            10 colorways"
Paintbox Yarns,"100% Cotton, 3.5oz",Paintbox Yarns Recycled Cotton Worsted,4.9900,Yarns,"
                            10 shades"
MillaMia,3.5oz,MillaMia Naturally Soft Super Chunky,12.9900,Yarns,"
                            18 shades"
Paintbox Yarns,17.6oz,Paintbox Yarns Simply Super Chunky 5 Ball Value Pack,15.7500,Yarns,"
                            19 colorways"
Premier Yarns,2.6oz,Premier Yarns Home Cotton Solids,2.1900,Yarns,"
                            22 shades"
Valley Yarns,"75% Merino Wool 25% Nylon, 8.8oz",Valley Yarns Huntington 5 Ball Value Pack,27.4500,Yarns,"
                            24 colorways"
Yarn and Colors,"25% Mohair 25% Wool 50% Acrylic, 0.7oz",Yarn and Colors Elegant,3.5000,Yarns,"
                            12 shades"
Valley Yarns,"72% Mohair 28% Silk, 4.4oz",Valley Yarns Southampton 5 Ball Value Pack,44.9500,Yarns,"
                            28 colorways"
Lion Brand,3.5oz,Lion Brand Jeans,6.9900,Yarns,"
                            7 shades"
King Cole,"50% Bamboo 50% Cotton, 3.5oz",King Cole Bamboo Cotton DK,7.5000,Yarns,"
                            21 shades"
Sirdar Snuggly,1.8oz,Sirdar Snuggly DK,5.5000,Yarns,"
                            33 shades"
Berroco,"50% Alpaca 50% Wool, 3.5oz",Berroco Ultra Alpaca Chunky,12.9900,Yarns,"
                            16 shades"
Cascade Yarns,"75% Merino Wool 20% Nylon 5% Viscose, 3.5oz",Cascade Yarns ReFine,11.0000,Yarns,"
                            17 shades"
Lion Brand,"100% Acrylic, 3.5oz",Lion Brand Basic Stitch Skein Tones,4.9900,Yarns,"
                            12 shades"
